UserId,RecipeId,Rating
95,637876,3
95,638086,2
95,630484,5
95,638231,4
95,716342,2
95,638123,4
95,638113,1
95,638107,5
95,638116,1
95,638140,5
95,638144,1
95,638133,5
96,638130,4
96,638137,5
96,638101,5
96,638112,2
96,638107,2
96,638145,3
96,638135,1
96,638121,1
96,918033,4
96,638231,2
96,716342,5
96,638086,3
96,630484,5
105,638132,3
106,638144,3
106,638126,4
106,638101,1
106,638130,2
106,638112,2
106,638108,1
106,638112,4
107,638139,3
107,638141,2
107,638116,4
107,638131,1
107,638133,1
108,638107,2
108,638115,4
108,638133,1
108,638129,3
108,638126,3
108,638135,5
108,638114,5
108,638100,5
108,638108,2
108,638136,4
108,638134,3
108,638138,5
109,638127,5
109,638144,3
109,638123,2
109,638146,1
109,638144,2
110,638117,2
110,638121,1
110,638141,2
110,638132,1
111,638133,3
111,638116,3
111,638118,1
111,638142,4
111,638131,5
111,638118,4
111,638111,3
111,638143,4
112,638147,2
112,638135,2
112,638131,1
112,638104,4
112,638149,1
112,638113,5
113,638140,4
113,638143,5
113,638112,3
113,638118,1
113,638103,1
113,638118,5
113,638125,5
114,638144,1
114,638115,5
114,638129,2
114,638109,5
114,638135,3
114,638143,5
114,638116,1
114,638119,3
97,638109,3
97,638101,5
97,716342,1
97,918033,4
97,638125,1
97,638148,3
97,638086,4
97,637999,2
97,638125,2
97,638149,3
97,638115,4
97,638107,2
115,638144,3
115,638110,1
115,638106,4
115,638126,2
115,638116,1
115,638101,4
116,638105,1
116,638141,1
116,638111,4
116,638144,3
116,638111,3
116,638116,3
117,638132,4
117,638101,5
117,638123,2
117,638148,4
117,638138,1
117,638121,3
118,638118,5
118,638132,3
118,638107,2
118,638149,1
118,638149,2
119,638102,1
119,638135,4
119,638121,3
119,638116,1
119,638141,3
120,638140,5
120,638140,2
120,638105,2
120,638134,3
120,638145,4
120,638133,2
120,638111,5
120,638112,1
120,638116,5
121,638136,2
121,638144,2
121,638138,1
121,638119,5
121,638142,3
121,638129,3
121,638114,3
121,638142,5
121,638120,4
121,638146,3
122,638132,1
122,638101,4
122,638125,2
122,638100,2
122,638122,4
122,638136,4
122,638112,3
122,638134,5
123,638129,3
123,638102,5
124,638107,2
124,638111,4
124,638136,3
124,638140,4
124,638131,1
98,638148,3
98,918033,5
98,638035,2
98,637942,4
98,636682,5
125,638141,4
125,638119,1
125,638102,3
125,638126,5
125,638135,1
125,638118,1
125,638107,4
126,638136,4
126,638134,4
126,638138,1
126,638128,2
126,638144,2
126,638146,3
127,638112,3
127,638113,5
127,638103,4
127,638146,2
127,638117,4
127,638140,2
127,638143,5
127,638104,2
127,638133,4
128,638124,2
128,638105,2
128,638140,3
128,638122,2
129,638118,2
129,638133,1
129,638141,2
129,638103,2
129,638129,5
129,638142,4
130,638131,5
130,638130,5
130,638124,3
130,638114,4
130,638115,1
130,638127,1
131,638105,2
131,638127,1
131,638140,1
131,638131,4
131,638147,3
131,638111,5
131,638134,3
131,638105,1
131,638144,4
131,638146,4
132,638106,3
132,638137,1
132,638143,5
132,638139,4
133,638109,2
133,638102,5
133,638124,3
133,638137,2
133,638120,3
133,638114,1
133,638118,5
134,638105,4
134,638121,4
134,638109,1
99,638105,5
99,638166,5
99,716342,3
99,638035,1
99,638125,5
99,636682,5
99,638135,5
99,638148,5
135,638113,3
135,638105,1
135,638113,5
135,638133,5
135,638120,5
136,638101,2
136,638107,3
136,638137,4
136,638112,4
136,638135,3
137,638148,2
137,638137,1
137,638149,2
137,638125,2
137,638121,5
138,638139,3
138,638135,1
138,638126,2
138,638139,2
139,638127,4
139,638115,3
139,638113,5
139,638106,1
140,638147,5
140,638108,2
140,638115,3
140,638128,1
140,638114,2
140,638112,5
141,638133,1
141,638126,5
141,638110,3
141,638109,3
141,638113,5
141,638110,4
141,638146,5
141,638129,2
141,638128,5
142,638127,2
142,638117,3
142,638111,5
142,638109,5
142,638126,3
142,638145,2
142,638119,2
142,638132,1
142,638146,3
143,638144,2
143,638126,1
143,638117,4
143,638139,3
143,638134,2
143,638128,5
143,638128,4
143,638140,2
143,638106,3
144,638147,4
144,638111,5
144,638111,2
144,638114,5
144,638104,5
144,638149,3
100,638231,3
100,918033,3
100,638166,1
100,638263,5
100,638128,5
145,638106,4
145,638139,4
145,638113,1
145,638112,1
145,638128,2
145,638108,5
145,638101,4
145,638122,1
146,638108,1
147,638130,2
147,638132,3
147,638103,4
147,638137,1
147,638129,2
147,638127,3
148,638128,5
148,638132,3
149,638129,4
149,638118,3
151,638110,4
153,638107,5
153,638132,4
154,638114,2
154,638135,5
101,638129,5
101,638148,3
101,638174,4
101,918033,3
101,637942,5
101,638035,3
101,638420,2
155,638118,2
155,638122,4
155,638139,2
155,638130,1
156,638141,1
156,638119,5
156,638120,5
157,638108,1
157,638148,3
157,638134,5
158,638132,1
158,638100,4
158,638148,1
159,638109,2
160,638124,3
160,638121,2
160,638134,2
160,638140,1
161,638136,3
161,638129,1
161,638142,5
162,638133,1
162,638130,1
162,638143,4
163,638113,2
163,638127,5
163,638131,5
163,638147,1
164,638112,1
164,638139,4
164,638119,2
164,638138,3
102,637876,4
102,638174,2
102,638035,1
102,918033,5
102,638135,1
102,638124,2
165,638124,4
165,638137,1
165,638133,3
165,638107,2
165,638106,2
166,638124,3
167,638139,5
167,638130,3
168,638112,1
169,638106,4
169,638100,3
170,638110,1
170,638112,1
171,638108,1
171,638129,2
171,638141,3
171,638101,4
172,638133,2
172,638131,1
172,638134,5
173,638149,1
173,638125,2
173,638136,2
173,638101,4
173,638112,2
174,638106,5
103,638119,3
103,638121,5
103,638148,3
103,638130,3
103,638144,2
103,637999,3
103,636682,5
103,638035,2
103,638125,5
103,638144,3
175,638105,1
175,638104,5
175,638142,2
